Dataset,Data_Type,Peak_Rank,Period_days,LS_Power,N_points,Time_span
DS1,RV [m/s],1,2.917920739227093,0.38826768981757936,287,85.93276577023789
DS1,RV [m/s],2,3.932849692001734,0.12146743166137428,287,85.93276577023789
DS1,RV [m/s],3,3.06355671195144,0.1181963394341299,287,85.93276577023789
DS1,CCF Contrast,1,1.1511422072369444,0.13506798042929333,287,85.93276577023789
DS1,CCF Contrast,2,2.0054321066566603,0.11241593620936742,287,85.93276577023789
DS1,CCF Contrast,3,1.380446036469685,0.04308563442032107,287,85.93276577023789
DS1,CCF FWHM [m/s],1,2.0054321066566603,0.06622797590918998,287,85.93276577023789
DS1,CCF FWHM [m/s],2,7.92007057790211,0.03137181232083219,287,85.93276577023789
DS1,CCF FWHM [m/s],3,1.3848954999232537,0.028066037959933385,287,85.93276577023789
DS1,BIS [m/s],1,2.0054321066566603,0.09141314569750159,287,85.93276577023789
DS1,BIS [m/s],2,1.1542345973168286,0.06887748289923505,287,85.93276577023789
DS1,BIS [m/s],3,1.9508005850224266,0.041177796621438514,287,85.93276577023789
DS1,H-alpha Emission,1,1.1542345973168286,0.13388202028652307,287,85.93276577023789
DS1,H-alpha Emission,2,2.0054321066566603,0.0635780895030382,287,85.93276577023789
DS1,H-alpha Emission,3,1.380446036469685,0.035366034895164704,287,85.93276577023789
DS1,CaII Emission,1,1.1604694904826185,0.08834824655611812,287,85.93276577023789
DS1,CaII Emission,2,18.48016468177159,0.056850271629076854,287,85.93276577023789
DS1,CaII Emission,3,32.427458781221844,0.029801657742260033,287,85.93276577023789
DS2,RV [m/s],1,1.2403784390147816,0.11864831497534271,322,88.37696377980319
DS2,RV [m/s],2,1.6350964621610211,0.11413618203079945,322,88.37696377980319
DS2,RV [m/s],3,5.1833996351790725,0.07918539627010203,322,88.37696377980319
DS2,CCF Contrast,1,1.2198338685963175,0.08383550165375529,322,88.37696377980319
DS2,CCF Contrast,2,2.006287486488154,0.04529736261794177,322,88.37696377980319
DS2,CCF Contrast,3,2.62635850757216,0.04336058496686284,322,88.37696377980319
DS2,CCF FWHM [m/s],1,39.27865056880142,0.05586074817873215,322,88.37696377980319
DS2,CCF FWHM [m/s],2,1.4381930639512317,0.034130624605550906,322,88.37696377980319
DS2,CCF FWHM [m/s],3,1.7728578491434943,0.0297918834738956,322,88.37696377980319
DS2,BIS [m/s],1,39.27865056880142,0.05364476693120391,322,88.37696377980319
DS2,BIS [m/s],2,2.006287486488154,0.0437526784670467,322,88.37696377980319
DS2,BIS [m/s],3,1.2198338685963175,0.038987930115849244,322,88.37696377980319
DS2,H-alpha Emission,1,1.2198338685963175,0.07835506176778671,322,88.37696377980319
DS2,H-alpha Emission,2,1.3180755224430007,0.0408880830624876,322,88.37696377980319
DS2,H-alpha Emission,3,1.6534511464883668,0.03996741482759714,322,88.37696377980319
DS2,CaII Emission,1,1.258035071598622,0.04434891789716897,322,88.37696377980319
DS2,CaII Emission,2,1.283616031660177,0.04383105843825285,322,88.37696377980319
DS2,CaII Emission,3,2.006287486488154,0.036433866363256864,322,88.37696377980319
DS3,RV [m/s],1,27.18413282329073,0.17655801992228365,322,88.34843167569488
DS3,RV [m/s],2,12.531692436268779,0.1060039049233122,322,88.34843167569488
DS3,RV [m/s],3,1.4424233742970594,0.07772597638101114,322,88.34843167569488
DS3,CCF Contrast,1,1.5486140521594194,0.08335815189347794,322,88.34843167569488
DS3,CCF Contrast,2,1.2721156468782562,0.0532592061798583,322,88.34843167569488
DS3,CCF Contrast,3,4.686919452291505,0.0392712516417202,322,88.34843167569488
DS3,CCF FWHM [m/s],1,1.2721156468782562,0.044177052056623235,322,88.34843167569488
DS3,CCF FWHM [m/s],2,1.554062122703516,0.03539618615191311,322,88.34843167569488
DS3,CCF FWHM [m/s],3,1.4192519144689941,0.026460829591970225,322,88.34843167569488
DS3,BIS [m/s],1,1.554062122703516,0.06273226289929257,322,88.34843167569488
DS3,BIS [m/s],2,1.2721156468782562,0.05546185224479822,322,88.34843167569488
DS3,BIS [m/s],3,8.29562738738919,0.032521106430187526,322,88.34843167569488
DS3,H-alpha Emission,1,1.5486140521594194,0.06277767994521609,322,88.34843167569488
DS3,H-alpha Emission,2,1.3793666147649473,0.04579362990637519,322,88.34843167569488
DS3,H-alpha Emission,3,1.4238264573037047,0.04423584316355123,322,88.34843167569488
DS3,CaII Emission,1,1.1290534399449825,0.04433771278801448,322,88.34843167569488
DS3,CaII Emission,2,1.3539989528842127,0.04112159715853457,322,88.34843167569488
DS3,CaII Emission,3,4.686919452291505,0.029833564101879206,322,88.34843167569488
DS4,RV [m/s],1,30.160332150815996,0.1312277568176392,278,91.98901305998879
DS4,RV [m/s],2,5.395250032843918,0.10476839426360623,278,91.98901305998879
DS4,RV [m/s],3,1.110307942788036,0.10339446242625887,278,91.98901305998879
DS4,CCF Contrast,1,1.8161700505427205,0.06634862854947027,278,91.98901305998879
DS4,CCF Contrast,2,1.1549154182045045,0.06509242458093396,278,91.98901305998879
DS4,CCF Contrast,3,1.2389092668011958,0.05057297069970593,278,91.98901305998879
DS4,CCF FWHM [m/s],1,2.2629523507992326,0.07782366300718169,278,91.98901305998879
DS4,CCF FWHM [m/s],2,1.7810070292350202,0.059745616326948255,278,91.98901305998879
DS4,CCF FWHM [m/s],3,1.8233699318134546,0.05893238503689005,278,91.98901305998879
DS4,BIS [m/s],1,1.8233699318134546,0.07221918546424859,278,91.98901305998879
DS4,BIS [m/s],2,2.2629523507992326,0.07206448665359076,278,91.98901305998879
